Symbol,Year,Year End,Share Capital,Face Value,Shares,Equity,Assets,Sales,Interest Ex.,EBT,Net Income,EPS,Dividend %
  BAFL,  2017,  2017-12-31,  16075.72,  10,  1607.57,  58544.63,  988828.83,  66813.08,  0,  14044.98,  8367.3,  5.2,  15
  BAFL,  2016,  2016-12-31,  15952.08,  10,  1595.21,  49185.19,  917457.05,  66112.7,  0,  13023.16,  7899.91,  4.95,  0
  BAFL,  2015,  2015-12-31,  15898.06,  10,  1589.81,  42424.78,  902607.52,  70299.43,  0,  12604.07,  7522.81,  4.73,  10
  BAFL,  2014,  2014-12-31,  15872.43,  10,  1587.24,  37823.83,  743128.29,  64414.92,  0,  8513.57,  5640.85,  3.55,  20
  BAFL,  2013,  2013-12-31,  13491.56,  10,  1349.16,  28265.62,  610614.31,  52239.75,  0,  6807.21,  4675.95,  3.47,  20
  BAFL,  2012,  2012-12-31,  13491.56,  10,  1349.16,  25689.74,  536466.69,  53361.26,  0,  6783.2,  4556.12,  3.38,  20
  BAFL,  2011,  2011-12-31,  13491.56,  10,  1349.16,  22839.89,  468173.81,  49665.89,  0,  5443.72,  3503.13,  2.6,  17.5
  BAFL,  2010,  2010-12-31,  13491.56,  10,  1349.16,  19726.56,  411483.84,  42238.42,  0,  1368.75,  968.45,  0.72,  0
  BAFL,  2009,  2009-12-31,  13491.56,  10,  1349.16,  19770.26,  389070.06,  40743.57,  0,  1016.32,  897.04,  0.66,  8
BAHL,2017,  2017-12-31,  11114.25,  10,  1111.43,  40806.55,  919051.6,  58506.06,  0,  14040.32,  8649.57,  7.78,  30
BAHL,2016,  2077-01-01,  11114.25,  10,  1111.43,  35922.37,  751395.82,  52856.62,  0,  13163.99,  8119.23,  7.31,  35
BAHL,2015,  2015-12-31,  11114.25,  10,  1111.43,  31697.83,  639712.47,  54804.09,  0,  12331.66,  7404.91,  6.66,  35
BAHL,2014,  2014-12-31,  11114.25,  10,  1111.43,  27554.66,  578918.83,  47808.89,  0,  9917.11,  6348.94,  5.71,  30
BAHL,2013,  2013-12-31,  10103.87,  10,  1010.39,  23227.48,  460726.92,  41163.72,  0,  7512.98,  5154.55,  5.1,  20
BAHL,2012,  2012-12-31,  10103.87,  10,  1010.39,  21174.7,  453105.53,  44435.21,  0,  8869.5,  5446.51,  5.39,  30
BAHL,2011,  2011-12-31,  8785.97,  10,  878.6,  17836.76,  384282.47,  39096.76,  0,  7155.34,  4533.48,  5.16,  25
BAHL,2010,  2010-12-31,  7321.64,  10,  732.16,  14706.38,  301552.47,  29604.99,  0,  5656.21,  3602.16,  4.92,  20
BAHL,2009,  2009-12-31,  6101.37,  10,  610.14,  12286.87,  249806.59,  23956.19,  0,  4512.07,  2856.29,  4.68,  20
FABL,  2017,  2017-12-31,  13197.36,  10,  1319.74,  33661.67,  488026.91,  34405.38,  0,  7269.31,  4514.79,  3.42,  0
FABL,  2016,  2077-01-01,  11997.6,  10,  1199.76,  29141.72,  444464.66,  32968.7,  0,  6658.64,  4301.77,  3.59,  0
FABL,  2015,  2015-12-31,  11997.6,  10,  1199.76,  26058.69,  430072.86,  37876.89,  0,  6920.08,  4222.36,  3.52,  10
FABL,  2014,  2014-12-31,  10432.7,  10,  1043.27,  21832.22,  388125.78,  36686.8,  0,  3551.78,  2476.96,  2.37,  0
FABL,  2013,  2013-12-31,  10432.7,  10,  1043.27,  20587.72,  355279.72,  32316.65,  0,  2160.78,  1849.91,  1.77,  0
FABL,  2012,  2012-12-31,  9273.51,  10,  927.35,  18728.89,  313064.34,  34083.87,  0,  1840.1,  1422.88,  1.53,  0
FABL,  2011,  2011-12-31,  8243.12,  10,  824.31,  17793.43,  292567.84,  32895.82,  0,  1478.09,  1280.3,  1.55,  0
FABL,  2010,  2010-12-31,  7309.09,  10,  730.91,  16642.88,  267320.91,  23722.8,  0,  827.05,  1190.33,  1.63,  0
FABL,  2009,  2009-12-31,  6090.91,  10,  609.09,  11336.15,  180865.41,  19770.94,  0,  1300.5,  1200.16,  1.97,  0
  HBL,  2017,  2017-12-31,  14668.52,  10,  1466.85,  151620.16,  2563059.11,  172236.36,  0,  26814.53,  7064.4,  4.82,  80
  HBL,  2016,  2016-12-31,  14668.52,  10,  1466.85,  159261.51,  2393783.38,  163293.51,  0,  52246.04,  31820.22,  21.69,  140
  HBL,  2015,  2015-12-31,  14668.52,  10,  1466.85,  149156.41,  2124899.51,  174757.78,  0,  57401.77,  35470.46,  24.18,  140
  HBL,  2014,  2014-12-31,  14668.52,  10,  1466.85,  137081.2,  1769196.25,  155603.73,  0,  46874.69,  31112.52,  21.21,  120
  HBL,  2013,  2013-12-31,  13335.02,  10,  1333.5,  120267.37,  1612657.8,  133302.88,  0,  33715.04,  21910.49,  16.43,  80
  HBL,  2012,  2012-12-31,  12122.75,  10,  1212.28,  110588.81,  1517840.12,  126790.04,  0,  33626.07,  21564.17,  17.79,  75
  HBL,  2011,  2011-12-31,  11020.68,  10,  1102.07,  93453.02,  1063853.62,  108535.5,  0,  32031.56,  20741.82,  18.82,  70
  HBL,  2010,  2010-12-31,  10018.8,  10,  1001.88,  81811.72,  887052.44,  91049.36,  0,  25057.28,  15613.05,  15.58,  65
  HBL,  2009,  2009-12-31,  9108,  10,  910.8,  71235.35,  820981.38,  84693.99,  0,  19485.74,  12298.64,  13.5,  60
HMB,  2017,  2017-12-31,  10478.32,  10,  1047.83,  39556.56,  644553.78,  39519.67,  0,  9129.08,  5509.01,  5.26,  30
HMB,  2016,  2077-01-01,  10478.32,  10,  1047.83,  37165.33,  526606.42,  42008.34,  0,  10333.75,  6119.32,  5.84,  30
HMB,  2015,  2015-12-31,  10478.32,  10,  1047.83,  33119.96,  489879.11,  46031.75,  0,  12538.91,  7655.93,  7.31,  40
HMB,  2014,  2014-12-31,  10478.32,  10,  1047.83,  30200.25,  397380.08,  37983.63,  0,  7312.32,  4926.56,  4.7,  25
HMB,  2013,  2013-12-31,  10478.32,  10,  1047.83,  27364.44,  311454.04,  29422.68,  0,  5111.82,  3526.17,  3.37,  20
HMB,  2012,  2012-12-31,  10478.32,  10,  1047.83,  26066.85,  300845.78,  32597.87,  0,  5040.91,  3402.79,  3.25,  20
HMB,  2011,  2011-12-31,  10478.32,  10,  1047.83,  24235.8,  288219.38,  32435.01,  0,  4630.45,  3281.37,  3.13,  15
HMB,  2010,  2010-12-31,  8731.93,  10,  873.19,  20954.43,  252210.66,  27809.38,  0,  4026.34,  2818.04,  3.23,  0
HMB,  2009,  2009-12-31,  7527.53,  10,  752.75,  18889.14,  237412.23,  25078.59,  0,  4213.64,  2739.49,  3.64,  10
  JSBL,  2017,  2017-12-31,  10724.64,  10,  1072.46,  16179.05,  388308.88,  24432.51,  0,  1620.56,  973.15,  0.91,  0
  JSBL,  2016,  2016-12-31,  10724.64,  10,  1072.46,  15426.7,  264700.49,  19942.28,  0,  3389.94,  2076.62,  1.94,  0
  JSBL,  2015,  2015-12-31,  10724.64,  10,  1072.46,  13567.15,  218475.66,  18617.61,  0,  3173.7,  2025.55,  1.89,  0
  JSBL,  2014,  2014-12-31,  10724.64,  10,  1072.46,  11703.72,  176716.82,  13703.54,  0,  1608.22,  1060.04,  0.99,  0
  JSBL,  2013,  2013-12-31,  10724.64,  10,  1072.46,  9139.04,  112769.97,  8527.78,  0,  501.37,  351.28,  0.33,  0
  JSBL,  2012,  2012-12-31,  10724.64,  10,  1072.46,  8774.48,  81570,  7829.36,  0,  1010.99,  708.18,  0.66,  0
  JSBL,  2011,  2011-12-31,  10002.93,  10,  1000.29,  7505.11,  53920.57,  5074.28,  0,  535.75,  359.69,  0.36,  0
  JSBL,  2010,  2010-12-31,  8149.72,  10,  814.97,  5821.61,  39383.65,  3632.74,  0,  -622.55,  -407.48,  -0.5,  0
  JSBL,  2009,  2009-12-31,  6127.61,  10,  612.76,  5622.45,  32894.92,  2866.77,  0,  -1448.79,  -594.94,  -0.97,  0
MCB,  2017,  2017-12-31,  11850.6,  10,  1185.06,  136493.13,  1327311.04,  92051.09,  0,  31014.21,  22458.9,  18.95,  160
MCB,  2016,  2016-12-31,  11130.31,  10,  1113.03,  117946.24,  1051813.68,  83643.92,  0,  36074.69,  21890.9,  19.67,  160
MCB,  2015,  2015-12-31,  11130.31,  10,  1113.03,  112903.54,  1016629.65,  97646.94,  0,  42333.26,  25550.99,  22.96,  160
MCB,  2014,  2014-12-31,  11130.31,  10,  1113.03,  106908.18,  934631.48,  90704.03,  0,  36729.45,  24324.76,  21.85,  140
MCB,  2013,  2013-12-31,  10118.46,  10,  1011.85,  97271.72,  815508.38,  76234.76,  0,  32288.21,  21495.34,  21.24,  140
MCB,  2012,  2012-12-31,  9198.6,  10,  919.86,  88156.91,  765899,  77509.52,  0,  32053.74,  20940.7,  22.77,  130
MCB,  2011,  2011-12-31,  8362.37,  10,  836.24,  78915,  653233.25,  76258.78,  0,  31483.18,  19424.91,  23.23,  120
MCB,  2010,  2010-12-31,  7602.15,  10,  760.22,  69180.01,  567552.62,  61086.6,  0,  26253.08,  16873.18,  22.2,  115
MCB,  2009,  2009-12-31,  6911.05,  10,  691.1,  61075.93,  509223.72,  57258.89,  0,  23154.95,  15495.3,  22.42,  110
  MEBL,  2017,  2017-12-31,  10629.02,  10,  1062.9,  34338.42,  781699.2,  43663.86,  0,  10252.01,  6312.77,  5.94,  30
  MEBL,  2016,  2016-12-31,  10027.38,  10,  1002.74,  28149.07,  657767.1,  37226.82,  0,  8942.84,  5561.61,  5.55,  30
  MEBL,  2015,  2015-12-31,  10027.38,  10,  1002.74,  25556.78,  531849.93,  37710.46,  0,  8451.25,  5022.51,  5.01,  30
  MEBL,  2014,  2014-12-31,  10027.38,  10,  1002.74,  23262.16,  437405.96,  33557.94,  0,  6898.53,  4570.09,  4.56,  27.5
  MEBL,  2013,  2013-12-31,  10027.38,  10,  1002.74,  17908.15,  329724.62,  26672.47,  0,  5646.66,  3956.78,  3.95,  20
  MEBL,  2012,  2012-12-31,  9033.68,  10,  903.37,  15481.74,  274436.5,  24235.56,  0,  5230.23,  3508.12,  3.88,  15
  MEBL,  2011,  2011-12-31,  8029.93,  10,  802.99,  13328.67,  200550.39,  20536.91,  0,  4356.3,  3391.54,  4.22,  10
  MEBL,  2010,  2010-12-31,  6982.55,  10,  698.26,  10740.12,  154752.44,  14765.58,  0,  2126.96,  1649.59,  2.36,  0
  MEBL,  2009,  2009-12-31,  6650.05,  10,  665,  9090.54,  124181.73,  11699.86,  0,  1739.72,  1025.35,  1.54,  0
  SILK,  2017,  2017-12-31,  90818.61,  10,  9081.86,  13128.62,  166854.53,  14613.74,  0,  1386.55,  1135.29,  0.13,  0
  SILK,  2016,  2016-12-31,  77998.1,  10,  7799.81,  12002.11,  135033.82,  12171.72,  0,  1285.13,  738.55,  0.09,  0
  SILK,  2015,  2015-12-31,  77998.1,  10,  7799.81,  14476.59,  133137.26,  10827.64,  0,  -1839.7,  -1711.6,  -0.22,  0
  SILK,  2014,  2014-12-31,  26716.05,  10,  2671.6,  8367.38,  102649.12,  11149.58,  0,  131.42,  86.86,  0.03,  0
  SILK,  2013,  2013-12-31,  26716.05,  10,  2671.6,  6267.29,  91800.32,  8947,  0,  -1528.08,  -1158.56,  -0.43,  0
  SILK,  2012,  2012-12-31,  26716.05,  10,  2671.61,  5193.76,  89061.57,  9648.23,  0,  -529.27,  -344.27,  -0.13,  0
  SILK,  2011,  2011-12-31,  26716.05,  10,  2671.6,  5515.87,  90670.28,  9232.19,  0,  1358.92,  695.06,  0.26,  0
  SILK,  2010,  2010-12-31,  26716.05,  10,  2671.6,  4817.09,  72603.41,  7960.37,  0,  -1235.55,  -1131.15,  -0.42,  0
  SILK,  2009,  2009-12-31,  9003.15,  10,  900.32,  196.91,  68664.34,  6575.5,  0,  -4252.46,  -2902.91,  -3.22,  0
SNBL,  2017,  2017-12-31,  11024.64,  10,  1102.46,  16441.71,  322133.98,  21773.82,  0,  2830.97,  1643.33,  1.49,  7.5
SNBL,  2016,  2016-12-31,  11024.64,  10,  1102.46,  15944.77,  278520.71,  20260.64,  0,  3077.34,  1878.84,  1.7,  12.5
SNBL,  2015,  2015-12-31,  11024.64,  10,  1102.46,  15335.96,  253341.83,  21472.52,  0,  3595.61,  2212.77,  2.01,  12.5
SNBL,  2014,  2014-12-31,  11024.64,  10,  1102.46,  14107.37,  213175.31,  19516.37,  0,  2441.9,  1582.06,  1.44,  10
SNBL,  2013,  2013-12-31,  11024.64,  10,  1102.46,  12450.42,  169233.88,  15981.81,  0,  1530.4,  1036.86,  0.94,  0
SNBL,  2012,  2012-12-31,  10022.4,  10,  1002.24,  11399.03,  158618.23,  15925.1,  0,  1722.06,  1104.19,  1.1,  0
SNBL,  2011,  2011-12-31,  9029.19,  10,  902.92,  10236.8,  129732.39,  14850.51,  0,  1078.27,  783.53,  0.87,  0
SNBL,  2010,  2010-12-31,  6023.22,  10,  602.32,  8381.36,  108105.68,  11478.93,  0,  140.45,  125.44,  0.21,  0
SNBL,  2009,  2009-12-31,  5019.35,  10,  501.94,  7181.58,  95310.27,  10505.48,  0,  190.41,  145.36,  0.29,  0
SCBL,  2017,  2017-12-31,  38715.85,  10,  3871.58,  57335.13,  513548.6,  34999.21,  0,  13453.12,  8245.16,  2.13,  17.5
SCBL,  2016,  2016-12-31,  38715.85,  10,  3871.58,  56871.97,  473331.72,  35557.78,  0,  15344.87,  9617.78,  2.48,  20
SCBL,  2015,  2015-12-31,  38715.85,  10,  3871.58,  55016.16,  447347.79,  40034.68,  0,  15384.62,  9288.43,  2.4,  20
SCBL,  2014,  2014-12-31,  38715.85,  10,  3871.58,  54456.47,  409567.88,  41498.66,  0,  15230.56,  9724.9,  2.51,  22.5
SCBL,  2013,  2013-12-31,  38715.85,  10,  3871.59,  52286.32,  399438.28,  36261.64,  0,  16144.18,  10528.01,  2.72,  24
SCBL,  2012,  2012-12-31,  38715.85,  10,  3871.59,  50330.97,  388872.03,  38449.54,  0,  9108.27,  5910.56,  1.53,  20
SCBL,  2011,  2011-12-31,  38715.85,  10,  3871.59,  51270.44,  356404.88,  38190.32,  0,  8430.7,  5445.69,  1.41,  10
SCBL,  2010,  2010-12-31,  38715.85,  10,  3871.59,  48100.17,  321922.97,  34113.47,  0,  5562.72,  3605.62,  0.93,  6
SCBL,  2009,  2009-12-31,  38715.85,  10,  3871.59,  44665.57,  312874.22,  33536.48,  0,  1266.28,  669.37,  0.17,  0
  SMBL,  2017,  2017-12-31,  26381.51,  10,  2638.15,  9539.58,  233049.94,  13064.94,  0,  -762.77,  -1146.44,  -0.43,  0
  SMBL,  2016,  2016-12-31,  17786.66,  10,  1778.67,  10559.95,  215022.35,  13754.19,  0,  -1917.71,  -2174.39,  -1.22,  0
  SMBL,  2015,  2015-12-31,  10779.8,  10,  1077.98,  10799.08,  188420.42,  15025.44,  0,  656.12,  217.22,  0.2,  0
  SMBL,  2014,  2014-12-31,  10779.8,  10,  1077.98,  11017.32,  148457.34,  12947.38,  0,  11.92,  229.45,  0.21,  0
  SMBL,  2013,  2013-12-31,  10779.8,  10,  1077.98,  3247.64,  125560.04,  10864.74,  0,  -1407.15,  -1828.22,  -1.7,  0
  SMBL,  2012,  2012-12-31,  10779.8,  10,  1077.98,  2896.91,  134385.2,  11642.19,  0,  -2524.92,  -2734.16,  -2.54,  0
  SMBL,  2011,  2011-12-31,  10779.8,  10,  1077.98,  5508.09,  119752.89,  10275.74,  0,  -3043.1,  -1536.84,  -1.43,  0
  SMBL,  2010,  2010-12-31,  5000,  10,  500,  3743.24,  49891.63,  5085.58,  0,  -549.48,  -322.7,  -0.65,  0
UBL,2017,  2017-12-31,  12241.8,  10,  1224.18,  127242.67,  2007381.45,  129367.96,  0,  40160.04,  25421.23,  20.77,  130
UBL,2016,  2016-12-31,  12241.8,  10,  1224.18,  116942.57,  1577551.02,  121827.86,  0,  46015.6,  27730.11,  22.65,  130
UBL,2015,  2015-12-31,  12241.8,  10,  1224.18,  105867.06,  1400650.84,  116339.94,  0,  42174.68,  25727.15,  21.02,  130
UBL,2014,  2014-12-31,  12241.8,  10,  1224.18,  94589.28,  1111414.11,  102031.51,  0,  33398.09,  21929.56,  17.91,  115
UBL,2013,  2013-12-31,  12241.8,  10,  1224.18,  88557.55,  1009738.62,  90960.08,  0,  27806.91,  18613.96,  15.21,  100
UBL,2012,  2012-12-31,  12241.8,  10,  1224.18,  77627.15,  894398.62,  90638.63,  0,  27028.93,  18006.73,  14.71,  85
UBL,2011,  2011-12-31,  12241.8,  10,  1224.18,  70622.93,  778059.75,  83168.73,  0,  24222.79,  15499.66,  12.66,  75
UBL,2010,  2010-12-31,  12241.8,  10,  1224.18,  60180.92,  698785,  69452.39,  0,  17742.22,  11159.93,  9.12,  50
UBL,2009,  2009-12-31,  11128.91,  10,  1112.89,  52276.25,  619744.06,  72526.6,  0,  14034.5,  9192.69,  8.26,  25
